Zenith Lite™ Diffuse Reflectance Target - 95%R.csv;Reflectivity: 95% (UV-VIS-NIR);DETECTOR-PC\admin;10.04.2014 15:35:46;Lambda 950;950L1211082;1.61.00 Lambda 900
nm;R
1473;0.950923
1474;0.950235
1475;0.950271
1476;0.950924
1477;0.950942
1478;0.950844
1479;0.950639
1480;0.950716
1481;0.950941
1482;0.950807
1483;0.950983
1484;0.951136
1485;0.951087
1486;0.95101
1487;0.951115
1488;0.950858
1489;0.950879
1490;0.950989
1491;0.950994
1492;0.950932
1493;0.950933
1494;0.950734
1495;0.950983
1496;0.951078
1497;0.950566
1498;0.950658
1499;0.950547
1500;0.950691
1501;0.950954
1502;0.951101
1503;0.950928
1504;0.951067
1505;0.951017
1506;0.951128
1507;0.951234
1508;0.952082
1509;0.951771
1510;0.951263
1511;0.951479
1512;0.951484
1513;0.951512
1514;0.950404
1515;0.950744
1516;0.951002
1517;0.95125
1518;0.951924
1519;0.951708
1520;0.951519
1521;0.950741
1522;0.951095
1523;0.951415
1524;0.950869
1525;0.951686
1526;0.951369
1527;0.951338
1528;0.950472
1529;0.950987
1530;0.951002
1531;0.951078
1532;0.951829
1533;0.951515
1534;0.951105
1535;0.951146
1536;0.95051
1537;0.950769
1538;0.950502
1539;0.951299
1540;0.951482
1541;0.951926
1542;0.951404
1543;0.951146
1544;0.951222
1545;0.951309
1546;0.950306
1547;0.951232
1548;0.95114
1549;0.951149
1550;0.951372
1551;0.950808
1552;0.951833
1553;0.951541
1554;0.951251
1555;0.951089
1556;0.951087
1557;0.951336
1558;0.951727
1559;0.951243
1560;0.951129
1561;0.950627
1562;0.951135
1563;0.951314
1564;0.951277
1565;0.951268
1566;0.95146
1567;0.950586
1568;0.951328
1569;0.951439
1570;0.95059
1571;0.952209
1572;0.951403
1573;0.951368
1574;0.952099
1575;0.951631
1576;0.951352
1577;0.951476
1578;0.949554
1579;0.951405
1580;0.950967
1581;0.951255
1582;0.950895
1583;0.951982
1584;0.950983
1585;0.951159
1586;0.950114
1587;0.951165
1588;0.951482
1589;0.951875
1590;0.951285
1591;0.951061
1592;0.949933
1593;0.950371
1594;0.951774
1595;0.951248
1596;0.951532
1597;0.951077
1598;0.949929
1599;0.950837
1600;0.951111
1601;0.951524
1602;0.950828
1603;0.949911
1604;0.950869
1605;0.950467
1606;0.950363
1607;0.95077
1608;0.951024
1609;0.95049
1610;0.950432
1611;0.949456
1612;0.949683
1613;0.95077
1614;0.95014
1615;0.950236
1616;0.950799
1617;0.950195
1618;0.949954
1619;0.949748
1620;0.94945
1621;0.948705
1622;0.949872
1623;0.949679
1624;0.949582
1625;0.949586
1626;0.949791
1627;0.949936
1628;0.949346
1629;0.949496
1630;0.949119
1631;0.948948
1632;0.948328
1633;0.949087
1634;0.949101
1635;0.948936
1636;0.948762
1637;0.948866
1638;0.949113
1639;0.948329
1640;0.948078
1641;0.947425
1642;0.947697
1643;0.947793
1644;0.94775
1645;0.947997
1646;0.947897
1647;0.947041
1648;0.946674
1649;0.947218
1650;0.946774
1651;0.946853
1652;0.947088
1653;0.945933
1654;0.945404
1655;0.946252
1656;0.945889
1657;0.946068
1658;0.946166
1659;0.945321
1660;0.944837
1661;0.945047
1662;0.94521
1663;0.945556
1664;0.945617
1665;0.944945
1666;0.944737
1667;0.945218
1668;0.945062
1669;0.943785
1670;0.943746
1671;0.945295
1672;0.944621
1673;0.944352
1674;0.944465
1675;0.944551
1676;0.944258
1677;0.944178
1678;0.943422
1679;0.943109
1680;0.943604
1681;0.943551
1682;0.943683
1683;0.943654
1684;0.943267
1685;0.942171
1686;0.94213
1687;0.942726
1688;0.942318
1689;0.942932
1690;0.942856
1691;0.941573
1692;0.941385
1693;0.941809
1694;0.942047
1695;0.942609
1696;0.942406
1697;0.941335
1698;0.941331
1699;0.941522
1700;0.941507
1701;0.942044
1702;0.942049
1703;0.941066
1704;0.941141
1705;0.941515
1706;0.941603
1707;0.942384
1708;0.942336
1709;0.941325
1710;0.941625
1711;0.941997
1712;0.94184
1713;0.941688
1714;0.941821
1715;0.942118
1716;0.94174
1717;0.941399
1718;0.941486
1719;0.941182
1720;0.94109
1721;0.940494
1722;0.9399
1723;0.940892
1724;0.941469
1725;0.940934
1726;0.940501
1727;0.940642
1728;0.940629
1729;0.940646
1730;0.940604
1731;0.940369
1732;0.940361
1733;0.940398
1734;0.940304
1735;0.940292
1736;0.940732
1737;0.940732
1738;0.94067
1739;0.940832
1740;0.940877
1741;0.940896
1742;0.940956
1743;0.941078
1744;0.941364
1745;0.940978
1746;0.941078
1747;0.941217
1748;0.941871
1749;0.941609
1750;0.941569
1751;0.941787
1752;0.94143
1753;0.941229
1754;0.940711
1755;0.941537
1756;0.941395
1757;0.941452
1758;0.94178
1759;0.941195
1760;0.941835
1761;0.942267
1762;0.941604
1763;0.940619
1764;0.941636
1765;0.941174
1766;0.941666
1767;0.941806
1768;0.94169
1769;0.9427
1770;0.942231
1771;0.940496
1772;0.941571
1773;0.941848
1774;0.941929
1775;0.940653
1776;0.942056
1777;0.94286
1778;0.941929
1779;0.942168
1780;0.94167
1781;0.940863
1782;0.941861
1783;0.942739
1784;0.942111
1785;0.942177
1786;0.942034
1787;0.941992
1788;0.942418
1789;0.942309
1790;0.942668
1791;0.942255
1792;0.94264
1793;0.941773
1794;0.941157
1795;0.941757
1796;0.942297
1797;0.940843
1798;0.942567
1799;0.941188
1800;0.94028
1801;0.941507
1802;0.941237
1803;0.941447
1804;0.941621
1805;0.941953
1806;0.940969
1807;0.94022
1808;0.941028
1809;0.941935
1810;0.939573
1811;0.940594
1812;0.940902
1813;0.942364
1814;0.939462
1815;0.940159
1816;0.940079
1817;0.940197
1818;0.94246
1819;0.940712
1820;0.940834
1821;0.939799
1822;0.940296
1823;0.93873
1824;0.939194
1825;0.93886
1826;0.938152
1827;0.939125
1828;0.939138
1829;0.940921
1830;0.938283
1831;0.93847
1832;0.938843
1833;0.937886
1834;0.938431
1835;0.937925
1836;0.939123
1837;0.937323
1838;0.93777
1839;0.93727
1840;0.937772
1841;0.937601
1842;0.937173
1843;0.938034
1844;0.936939
1845;0.935867
1846;0.936746
1847;0.936325
1848;0.936502
1849;0.93665
1850;0.93705
1851;0.937213
1852;0.936453
1853;0.936218
1854;0.935922
1855;0.936416
1856;0.936432
1857;0.936653
1858;0.936342
1859;0.934213
1860;0.935746
1861;0.935837
1862;0.935509
1863;0.935065
1864;0.93488
1865;0.934572
1866;0.934291
1867;0.933965
1868;0.933642
1869;0.932521
1870;0.931764
1871;0.933334
1872;0.933285
1873;0.9333
1874;0.933587
1875;0.933888
1876;0.934188
1877;0.934129
1878;0.934366
1879;0.934504
1880;0.934439
1881;0.934421
1882;0.934412
1883;0.934307
1884;0.934642
1885;0.934829
1886;0.933566
1887;0.93353
1888;0.934291
1889;0.933371
1890;0.932418
1891;0.932267
1892;0.933526
1893;0.933204
1894;0.931983
1895;0.932074
1896;0.931911
1897;0.931649
1898;0.932109
1899;0.931845
1900;0.930827
1901;0.931113
1902;0.931204
1903;0.930897
1904;0.931021
1905;0.931174
1906;0.931073
1907;0.931095
1908;0.930797
1909;0.931354
1910;0.931551
1911;0.931374
1912;0.931267
1913;0.930925
1914;0.929991
1915;0.929516
1916;0.929904
1917;0.930383
1918;0.929537
1919;0.929188
1920;0.930388
1921;0.930306
1922;0.928962
1923;0.929112
1924;0.929338
1925;0.930088
1926;0.929471
1927;0.929075
1928;0.929389
1929;0.929536
1930;0.930345
1931;0.930224
1932;0.929904
1933;0.929542
1934;0.93035
1935;0.930417
1936;0.929894
1937;0.929807
1938;0.930659
1939;0.930598
1940;0.930953
1941;0.930772
1942;0.930616
1943;0.930458
1944;0.931435
1945;0.931469
1946;0.930804
1947;0.931322
1948;0.931774
1949;0.931687
1950;0.930816
1951;0.931
1952;0.93191
1953;0.931106
1954;0.930932
1955;0.931732
1956;0.930664
1957;0.93006
1958;0.931153
1959;0.931198
1960;0.930254
1961;0.930816
1962;0.93077
1963;0.930436
1964;0.931481
1965;0.930455
1966;0.930684
1967;0.930996
1968;0.930785
1969;0.931012
1970;0.931014
1971;0.930897
1972;0.930787
1973;0.930974
1974;0.930689
1975;0.930646
1976;0.930579
1977;0.929648
1978;0.930906
1979;0.930014
1980;0.930413
1981;0.928679
1982;0.928757
1983;0.927823
1984;0.929371
1985;0.927982
1986;0.929182
1987;0.926819
1988;0.929435
1989;0.926809
1990;0.925992
1991;0.92758
1992;0.927157
1993;0.927
1994;0.92657
1995;0.926909
1996;0.925525
1997;0.927537
1998;0.927161
1999;0.925385
2000;0.925759
2001;0.926084
2002;0.927091
2003;0.927072
2004;0.923526
2005;0.92499
2006;0.925658
2007;0.924533
2008;0.925798
2009;0.922558
2010;0.924825
2011;0.923841
2012;0.922504
2013;0.924564
2014;0.924509
2015;0.921838
2016;0.921984
2017;0.923968
2018;0.921909
2019;0.922115
2020;0.920727
2021;0.922846
2022;0.922311
2023;0.918619
2024;0.920271
2025;0.921516
2026;0.919717
2027;0.918877
2028;0.919406
2029;0.919429
2030;0.918917
2031;0.918289
2032;0.918523
2033;0.918497
2034;0.917147
2035;0.919189
2036;0.918103
2037;0.918228
2038;0.917655
